Price,ICLN,XLE,VIX,Brent,EUA
Ticker,ICLN,XLE,^VIX,BZ=F,ECF=F
Date,,,,,
2022-05-11,16.28493309020996,69.76856231689453,32.560001373291016,107.51000213623047,
2022-05-12,16.169572830200195,70.06455993652344,31.770000457763672,107.44999694824219,
2022-05-13,16.957862854003906,72.45954895019531,28.8700008392334,111.55000305175781,
2022-05-16,16.823278427124023,74.37016296386719,27.469999313354492,114.23999786376953,
2022-05-17,17.5346622467041,75.23129272460938,26.100000381469727,111.93000030517578,
2022-05-18,17.457754135131836,73.30274200439453,30.959999084472656,109.11000061035156,
2022-05-19,18.130687713623047,73.03363800048828,29.350000381469727,112.04000091552734,
2022-05-20,18.226821899414062,73.34756469726562,29.43000030517578,112.55000305175781,
2022-05-23,18.447927474975586,75.28511047363281,28.479999542236328,113.41999816894531,
2022-05-24,18.178752899169922,75.57215118408203,29.450000762939453,113.55999755859375,
2022-05-25,18.43831443786621,77.1329116821289,28.3700008392334,114.02999877929688,
2022-05-26,18.89975357055664,77.98506164550781,27.5,117.4000015258789,
2022-05-27,19.361190795898438,79.41129302978516,25.719999313354492,119.43000030517578,
2022-05-31,19.11124038696289,78.21827697753906,26.190000534057617,122.83999633789062,
2022-06-01,18.890134811401367,79.49203491210938,25.690000534057617,116.29000091552734,
2022-06-02,19.659202575683594,79.24085998535156,24.719999313354492,117.61000061035156,
2022-06-03,19.505388259887695,80.29035186767578,24.790000915527344,119.72000122070312,
2022-06-06,19.889921188354492,80.2006607055664,25.06999969482422,119.51000213623047,
2022-06-07,20.06296157836914,82.59564971923828,24.020000457763672,120.56999969482422,
2022-06-08,19.81301498413086,82.7750473022461,23.959999084472656,123.58000183105469,
2022-06-09,19.27098846435547,80.94515228271484,26.09000015258789,123.06999969482422,
2022-06-10,18.922542572021484,79.57276153564453,27.75,122.01000213623047,
2022-06-13,17.838489532470703,75.41964721679688,34.02000045776367,122.2699966430664,
2022-06-14,17.635229110717773,75.56316375732422,32.689998626708984,121.16999816894531,
2022-06-15,18.061105728149414,73.89474487304688,29.6200008392334,118.51000213623047,
2022-06-16,17.393251419067383,69.73268127441406,32.95000076293945,119.80999755859375,
2022-06-17,18.02239227294922,65.92044830322266,31.1299991607666,113.12000274658203,
2022-06-21,18.467626571655273,69.33550262451172,30.190000534057617,114.6500015258789,
2022-06-22,18.351476669311523,66.5599136352539,28.950000762939453,111.73999786376953,
2022-06-23,18.69992446899414,64.09272003173828,29.049999237060547,110.05000305175781,
2022-06-24,18.78703498840332,64.93626403808594,27.229999542236328,113.12000274658203,
2022-06-27,19.048370361328125,66.84109497070312,26.950000762939453,115.08999633789062,
2022-06-28,18.535381317138672,68.64613342285156,28.360000610351562,117.9800033569336,
2022-06-29,18.128860473632812,66.26058197021484,28.15999984741211,116.26000213623047,
2022-06-30,18.43859100341797,64.86372375488281,28.709999084472656,114.80999755859375,
2022-07-01,18.69992446899414,65.83426666259766,26.700000762939453,111.62999725341797,
2022-07-05,18.428913116455078,63.221927642822266,27.540000915527344,102.7699966430664,
2022-07-06,18.351476669311523,62.14254379272461,26.729999542236328,100.69000244140625,
2022-07-07,19.106441497802734,64.38298034667969,26.079999923706055,104.6500015258789,
2022-07-08,19.348421096801758,64.35575103759766,24.639999389648438,107.0199966430664,
2022-07-11,18.82575225830078,63.73896408081055,26.170000076293945,107.0999984741211,
2022-07-12,18.486984252929688,62.49628829956055,27.290000915527344,99.48999786376953,
2022-07-13,18.59345245361328,62.39651870727539,26.81999969482422,99.56999969482422,
2022-07-14,18.516019821166992,61.21733474731445,26.399999618530273,99.0999984741211,
2022-07-15,18.20629119873047,62.21509552001953,24.229999542236328,101.16000366210938,
2022-07-18,18.574098587036133,63.63918685913086,25.299999237060547,106.2699966430664,
2022-07-19,18.912864685058594,65.59842681884766,24.5,107.3499984741211,
2022-07-20,19.019332885742188,66.23336029052734,23.8799991607666,106.91999816894531,
2022-07-21,18.980619430541992,65.07232666015625,23.110000610351562,103.86000061035156,
2022-07-22,18.874147415161133,64.53717041015625,23.030000686645508,103.19999694824219,
2022-07-25,19.11612319946289,66.90457916259766,23.360000610351562,105.1500015258789,
2022-07-26,18.81607437133789,66.29685974121094,24.690000534057617,104.4000015258789,
2022-07-27,19.706546783447266,67.79350280761719,23.239999771118164,106.62000274658203,
2022-07-28,21.09065055847168,68.17447662353516,22.329999923706055,107.13999938964844,
2022-07-29,21.574604034423828,71.13148498535156,21.329999923706055,110.01000213623047,
2022-08-01,21.3035888671875,69.66205596923828,22.84000015258789,100.02999877929688,
2022-08-02,21.574604034423828,69.49877166748047,23.93000030517578,100.54000091552734,
2022-08-03,21.119688034057617,67.50325012207031,21.950000762939453,96.77999877929688,
2022-08-04,21.526206970214844,64.99978637695312,21.440000534057617,94.12000274658203,
2022-08-05,21.690752029418945,66.28778839111328,21.149999618530273,94.91999816894531,
2022-08-08,21.78754234313965,66.6324691772461,21.290000915527344,96.6500015258789,
2022-08-09,21.864973068237305,67.80258178710938,21.770000457763672,96.30999755859375,
2022-08-10,22.852237701416016,68.29239654541016,19.739999771118164,97.4000015258789,
2022-08-11,22.532827377319336,70.64167022705078,20.200000762939453,99.5999984741211,
2022-08-12,22.79416275024414,71.17684173583984,19.530000686645508,98.1500015258789,
2022-08-15,22.765125274658203,69.7890396118164,19.950000762939453,95.0999984741211,
2022-08-16,22.47475242614746,69.62577819824219,19.690000534057617,92.33999633789062,
2022-08-17,22.38764190673828,70.2062759399414,19.899999618530273,93.6500015258789,
2022-08-18,22.436038970947266,72.09296417236328,19.559999465942383,96.58999633789062,
2022-08-19,21.816577911376953,72.07482147216797,20.600000381469727,96.72000122070312,
2022-08-22,21.477813720703125,71.93875885009766,23.799999237060547,96.4800033569336,
2022-08-23,21.51652717590332,74.53294372558594,24.110000610351562,100.22000122070312,
2022-08-24,21.942405700683594,75.44908142089844,22.81999969482422,101.22000122070312,
2022-08-25,22.397321701049805,76.02960205078125,21.780000686645508,99.33999633789062,
2022-08-26,21.88433265686035,75.14067077636719,25.559999465942383,100.98999786376953,
2022-08-29,21.642356872558594,76.27449798583984,26.209999084472656,105.08999633789062,
