date,"('ICLN', 'ICLN')","('XLE', 'XLE')","('VIX', '^VIX')","('Brent', 'BZ=F')","('SP500', '^GSPC')",dgs10,carbon_eua,"('ICLN', 'ICLN')_ret","('XLE', 'XLE')_ret","('Brent', 'BZ=F')_ret",carbon_eua_ret,"('SP500', '^GSPC')_ret",dgs10_diff,carbon_shock_resid,carbon_shock
2020-07-16,13.265026092529297,30.664005279541016,28.0,43.369998931884766,3215.570068359375,0.62,27.67,-0.0078376320677731,-0.0045585466146749,-0.0096375685012303,-0.0707982520098193,-0.0034119152141152,-0.02,-0.07228701827358792,1
2020-07-17,13.48326301574707,30.235483169555664,25.68000030517578,43.13999938964844,3224.72998046875,0.64,28.76,0.0163181850657969,-0.0140733261831717,-0.0053173064064489,0.0386367390540113,0.0028445625875835,0.02,0.035685136276316434,0
2020-07-20,13.72996711730957,29.73280334472656,24.459999084472656,43.27999877929688,3251.840087890625,0.62,27.1,0.0181316851508069,-0.016765248038921,0.0032399795205885,-0.0594518049671906,0.0083717972551403,-0.02,-0.06200234743601737,1
2020-07-21,13.79638671875,31.52928924560547,24.84000015258789,44.31999969482422,3257.300048828125,0.61,27.51,0.0048259010794948,0.0586660051099808,0.0237454292198531,0.0150158470508278,0.00167762933456,-0.01,0.013352393081005888,0
2020-07-22,13.910249710083008,31.14197158813477,24.31999969482422,44.290000915527344,3276.02001953125,0.6,27.53,0.0082192317088549,-0.0123604530539376,-0.0006770969469888,0.0007267442180327,0.0057306305944738,-0.01,0.004679990935297218,0
2020-07-23,13.948204040527344,31.08428955078125,26.07999992370605,43.310001373291016,3235.659912109375,0.59,28.23,0.0027247997514054,-0.0018539456756495,-0.0223753516713645,0.025108923110882,-0.0123963784122468,-0.01,0.019975255189099782,0
2020-07-24,13.692012786865234,30.91123008728028,25.84000015258789,43.34000015258789,3215.6298828125,0.59,27.27,-0.0185381028041363,-0.0055829812873068,0.0006924126939906,-0.0345980454079008,-0.0062096400242761,0.0,-0.029922772777056864,0
2020-07-27,13.967181205749512,30.94419479370117,24.739999771118164,43.40999984741211,3239.409912109375,0.62,25.91,0.0198977235278432,0.0010658631673828,0.0016138261675317,-0.0511582022834785,0.0073679288214823,0.03,-0.053321639633147226,1
2020-07-28,13.616104125976562,30.41677474975586,25.440000534057617,43.220001220703125,3218.43994140625,0.59,26.67,-0.0254571589617816,-0.0171911570857251,-0.0043864464737817,0.0289103436199044,-0.0064944354186463,-0.03,0.02739646374578957,0
2020-07-29,13.692012786865234,31.05131721496582,24.100000381469727,43.75,3258.43994140625,0.58,27.13,0.0055594354339384,0.020646972657027,0.0121882334809431,0.0171007884769173,0.0123517833517425,-0.01,0.013455024192819734,0
2020-07-30,13.758432388305664,29.831689834594727,24.76000022888184,42.93999862670898,3246.219970703125,0.55,26.48,0.0048392461860684,-0.0400699841098031,-0.018687852334615,-0.0242503956020328,-0.0037573017634548,-0.0299999999999999,-0.022981924463017417,0
2020-07-31,13.66354751586914,29.69159889221192,24.459999084472656,43.29999923706055,3271.1201171875,0.55,27.22,-0.0069203793052544,-0.0047071055394839,0.0083488569195867,0.0275622661545124,0.0076412362421762,0.0,0.030716481266144638,0
